Whichofthefollowingsocialmediaplatformsdoyouregularlyuse,Whichdevicedoyoucommonlyusewhenaccessingsocialmediaplatforms,HowlonghaveyoubeenonFacebook,HowlonghaveyoubeenonInstagram,HowmanydaysperweekdoyouaccessFacebook,HowmanydaysperweekdoyouaccessInstagram,HowmuchtimeperdaydoyouspendonFacebook,HowmuchtimeperdaydoyouspendonInstagram,HowmanyfriendsdoyouhaveonFacebook,HowmanyfollowersdoyouhaveonInstagram,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M12B,M14,M15,M16,M16B,M18,M19,M20,M21,M22,M22B,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,C1,C2,C3,C4,C5,C6,C7,CON1,CON2,CON3,CON4,CON5,IMP1,IMP2,IMP3,IMP4,IMP5,Whatisyourage,Age3Groups,Gender,WhatisyourestimatedmonthlyincomeInUSD,Whatisyourhighesteducationlevelachieved,Whatisyourcurrentemploymentstatus,Whatsyourmaritalstatus,Pos,Non,Env,View,SMEngagement,CreationSMContent,SMADV,SMBGC,SMUGC,Firstmatfactor,Secondmatfactor,Thirdmatfactor,Fourthmatfactor,Fifthmatfactor,Att1,Att2,Att3,Att4,Att5,Att6,Att7,SMI1,SMI2,SMI3,SMI4,SMI5,SMI6,SMI7,csummatedscale,consummatedscale,impsummatedscale,matsummated,smisummated,SMCSummated
Instagram,Smartphones,5,4,4,4,5,4,5,4,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,3,2,1,3,1,2,1,3,2,1,3,1,3,3,3,2,2,2,1,2,3,3,3,1,1,3,2,2,1,2,1,1,1,3,2,1,1,1,3,3,3,3,1,1,2,2,1,2,3,3,2,2,1,3,2,2,3,2,2,2,2,2,1,1,2,2,2,2,1,2,3,2,2,1,2,1,Male,2,4,Employed part time (up to 39 hours per week),Never married,1.44,1.29,1.57,2.29,2.31,1.53,1.67,1.90,2.10,1.20,1.60,1.50,1.25,1.60,1.40,2.00,2.00,1.80,2.00,2.50,1.50,2.40,1.80,1.60,1.60,2.20,2.00,2.25,1.71,1.80,2.00,1.43,2.08,1.90
Facebook,Smartphones,5,5,5,4,4,3,5,3,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,3,2,3,3,2,3,1,1,1,2,3,3,3,1,3,3,2,1,3,3,2,1,1,1,3,1,1,2,2,3,2,1,2,2,3,2,3,3,2,3,2,1,1,1,2,1,1,1,3,3,1,1,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,3,2,4,2,Male,5,4,Employed Full Time (40 or more hours per week),Married,1.44,1.57,1.57,1.86,2.00,1.88,1.44,2.10,2.50,1.20,1.60,1.50,1.75,1.60,1.40,1.50,2.60,1.60,2.50,2.25,3.00,1.60,1.80,2.00,2.60,1.40,1.80,2.00,2.00,1.80,2.40,1.53,1.95,2.03
Facebook,Tablets,5,5,5,5,5,5,5,5,2,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,3,3,1,3,1,3,2,2,1,3,3,2,3,3,2,3,2,1,2,1,1,3,2,1,2,2,2,2,2,2,2,3,2,3,1,1,1,3,3,3,1,2,3,1,2,2,1,2,3,1,2,3,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,Female,1,2,Student,Never married,1.44,1.57,1.29,1.86,1.77,1.88,1.33,2.00,2.40,1.40,1.60,1.50,1.50,1.20,1.20,1.50,2.20,1.80,2.75,2.50,1.50,1.60,2.00,2.40,1.80,2.00,2.00,1.63,1.14,1.40,1.60,1.43,1.77,1.93
Facebook,Smartphones,5,5,5,5,5,5,5,5,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,3,3,2,3,1,3,1,3,2,3,2,2,1,1,2,1,3,3,2,2,3,3,1,1,3,3,2,1,2,1,3,3,3,1,3,1,2,3,2,1,3,3,3,3,1,2,3,1,3,1,1,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,3,1,Male,1,3,Student,Never married,1.44,1.29,1.29,2.00,2.00,2.12,1.44,2.10,2.00,1.20,1.60,1.50,1.25,1.20,1.40,1.50,2.00,2.20,2.25,1.25,3.00,2.20,2.00,2.40,2.00,2.40,2.00,1.63,1.43,2.00,1.40,1.34,1.99,1.86
Instagram,Smartphones,5,4,5,5,4,2,4,2,2,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,3,1,2,2,3,3,1,1,2,3,1,3,3,3,1,1,2,2,1,3,2,3,1,3,2,3,2,1,3,1,1,3,3,1,1,1,2,3,1,1,3,1,3,3,1,1,2,3,1,3,2,1,3,3,3,3,2,2,1,1,1,1,1,1,1,2,2,1,2,2,3,3,3,3,1,Male,4,5,Self-employed,Never married,1.33,1.57,1.57,2.29,2.08,1.88,1.44,1.90,2.10,1.40,1.40,1.75,1.50,1.40,1.60,1.25,1.80,2.00,2.25,2.00,2.00,2.00,2.20,2.20,1.60,1.80,2.00,2.38,1.29,1.40,2.60,1.49,2.09,1.83
Line,Tablets,5,5,5,5,4,5,5,5,2,3,2,3,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2,2,3,2,4,3,2,2,4,4,4,4,3,3,2,3,2,4,2,3,3,3,4,1,2,1,3,1,1,1,2,2,3,3,4,3,4,3,2,2,2,2,2,3,3,2,3,3,4,3,2,2,3,3,4,4,3,4,3,2,2,4,4,4,4,4,4,4,4,2,4,3,2,2,4,4,3,2,2,2,4,3,2,4,3,2,3,2,3,1,Female,5,3,Student,Never married,2.56,2.57,2.57,3.57,2.92,3.18,3.33,2.90,1.70,2.60,2.40,2.75,2.75,2.40,3.00,3.75,2.80,3.00,1.75,1.25,2.50,3.40,2.00,2.80,2.80,3.60,3.00,3.75,2.86,2.60,2.80,2.57,3.17,2.62
Instagram,Smartphones,5,5,1,5,1,2,5,3,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,2,3,2,2,3,2,2,3,2,2,3,2,2,4,4,4,3,2,4,3,4,4,1,2,1,2,1,3,1,3,3,3,4,3,4,4,3,4,4,2,2,2,2,3,2,3,2,2,3,4,4,2,4,2,3,3,4,4,3,3,2,4,4,2,3,4,3,4,3,3,3,4,2,3,4,2,2,4,3,3,4,4,3,2,4,4,4,4,2,Female,1,2,Employed part time (up to 39 hours per week),Never married,2.22,2.29,2.57,3.43,2.85,3.24,2.33,3.40,2.00,2.20,2.40,2.00,2.75,2.40,2.40,2.25,3.40,3.40,1.50,2.00,3.00,3.60,2.80,2.40,3.00,3.20,3.20,3.25,2.86,3.60,3.40,2.36,3.12,2.59
Youtube,Smartphones,5,5,5,5,4,4,5,4,3,3,2,3,3,2,3,2,2,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,4,2,4,4,3,3,4,2,4,3,3,4,4,3,4,4,3,4,1,1,2,1,1,2,2,1,3,2,3,3,4,3,3,2,3,3,3,2,4,3,4,3,2,3,3,3,4,4,2,3,2,3,2,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,4,2,2,2,3,4,4,4,2,2,4,3,4,4,4,4,2,Female,4,5,Employed part time (up to 39 hours per week),Married,2.56,2.86,2.71,3.29,2.92,3.18,3.11,3.60,1.60,2.80,2.40,3.00,2.50,2.80,3.20,3.00,3.60,3.60,1.25,1.50,2.50,3.20,2.60,3.20,3.40,2.40,3.80,3.13,2.71,3.20,3.80,2.71,3.10,2.76
Youtube,Smartphones,5,5,4,5,5,5,5,5,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,4,4,3,2,4,3,4,4,2,2,4,3,4,3,2,3,4,2,1,1,3,3,1,2,3,1,2,3,4,3,4,3,2,4,2,2,3,3,4,3,4,2,3,4,4,3,3,3,4,2,2,4,4,4,2,2,4,4,4,2,4,3,4,3,4,4,3,4,4,4,4,2,3,4,3,4,3,2,3,3,2,2,3,2,Female,3,4,Employed part time (up to 39 hours per week),Never married,2.22,2.29,2.86,3.57,3.00,3.29,3.11,3.10,1.90,2.40,2.00,2.50,2.25,3.00,3.00,3.25,3.00,3.20,1.75,2.25,1.50,3.40,2.60,3.20,3.40,3.00,3.20,3.50,3.57,3.40,2.40,2.46,3.24,2.69
Line,Smartphones,5,2,3,5,2,5,5,4,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,2,2,2,4,4,2,2,4,4,3,2,3,3,2,4,3,2,3,1,3,1,3,2,1,3,2,2,4,2,2,3,3,2,2,2,3,2,3,4,3,2,4,3,4,2,4,2,2,3,4,3,3,2,2,3,2,4,3,2,2,3,4,3,4,3,3,2,4,3,4,2,3,2,4,2,4,4,3,2,2,4,2,1,Male,2,3,Student,Never married,2.89,2.00,3.00,3.00,2.62,2.94,3.11,3.00,2.10,2.80,2.80,2.00,2.50,3.00,3.20,3.00,3.00,3.00,2.25,1.75,2.50,2.60,2.40,2.80,3.40,2.80,2.40,3.13,3.00,3.00,3.00,2.63,2.81,2.72
Line,Tablets,5,4,5,5,5,3,2,3,2,2,2,2,3,2,3,2,2,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,4,4,4,4,2,4,4,4,4,3,4,4,3,4,2,3,3,4,1,2,3,1,3,2,3,3,3,1,4,2,2,2,4,4,2,4,2,2,2,2,2,3,4,4,3,3,2,3,3,4,4,2,4,3,3,4,4,3,3,2,2,3,2,2,4,2,2,4,4,3,3,2,2,3,3,4,3,4,2,2,4,2,2,4,2,Male,5,5,Employed part time (up to 39 hours per week),Married,2.22,2.43,2.86,2.86,3.00,2.76,3.67,3.40,2.20,2.20,2.20,2.50,2.75,2.80,3.80,3.50,3.60,3.20,1.75,2.75,2.00,2.80,2.80,2.60,3.00,3.40,3.40,2.50,2.86,3.40,2.40,2.50,2.91,3.07
Line,Tablets,5,4,5,5,5,3,2,3,2,2,2,2,2,3,2,3,3,2,3,2,3,3,3,2,2,2,2,3,3,3,3,3,4,3,4,2,3,3,3,3,4,3,4,4,4,4,4,4,2,4,1,3,2,1,2,1,1,1,3,3,2,3,4,3,4,2,4,3,3,2,3,3,2,4,4,2,3,3,4,4,4,3,4,4,3,3,3,4,2,2,2,4,3,4,3,2,4,4,2,3,4,2,4,3,4,4,3,4,2,2,4,3,2,4,2,4,2,Male,5,5,Employed part time (up to 39 hours per week),Married,2.33,2.57,2.57,2.71,3.54,3.06,3.11,3.70,1.80,2.00,2.60,2.75,2.25,2.80,3.20,3.00,3.80,3.60,1.75,1.25,3.00,3.20,2.80,3.20,3.20,3.60,2.80,3.25,3.14,3.00,3.00,2.49,3.24,2.86
Instagram,Computers,5,5,5,5,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,4,2,3,2,3,4,4,3,2,2,2,3,4,3,3,4,2,4,2,2,1,3,2,1,3,2,3,1,2,3,2,2,3,4,2,4,2,3,4,4,2,2,4,2,2,2,2,4,4,4,2,3,4,3,4,3,4,3,4,2,4,2,2,4,2,4,2,3,3,2,2,4,3,3,4,3,2,2,3,2,3,4,4,3,1,Male,3,4,Self-employed,Never married,2.00,2.29,2.43,2.57,2.92,3.00,3.00,2.90,2.00,2.00,2.00,2.00,2.75,2.40,2.60,3.50,2.60,3.20,2.00,2.00,2.00,2.40,3.00,3.20,2.40,3.40,3.40,3.00,2.71,2.80,3.20,2.24,2.82,2.62
TikTok,Smartphones,5,5,4,5,4,5,5,5,3,2,2,2,3,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,4,4,4,4,3,2,4,4,2,2,4,2,3,2,3,2,2,2,3,1,2,1,2,3,2,1,1,2,3,3,2,2,2,4,4,3,3,2,3,2,4,4,4,2,2,4,4,3,3,4,3,3,3,4,2,3,4,2,4,3,4,4,3,2,3,4,4,4,4,3,3,2,4,2,2,2,2,3,2,4,3,3,3,1,Female,1,4,Unemployed,Never married,2.56,2.29,2.86,3.29,3.31,2.71,3.33,2.60,1.80,2.40,2.60,2.00,3.00,2.80,3.40,3.25,2.80,2.40,2.00,2.00,1.00,2.40,3.20,3.00,3.20,3.20,3.20,3.13,3.43,2.40,3.00,2.57,3.12,2.55
Line,Smartphones,5,5,5,5,5,5,5,5,3,2,3,2,3,2,3,2,2,2,3,3,3,3,2,3,2,3,3,3,2,2,3,3,4,4,2,2,2,3,3,4,3,2,4,4,4,3,3,2,2,4,1,3,2,1,1,3,3,2,2,3,4,2,4,3,2,3,3,4,4,2,2,4,2,3,3,4,3,4,3,3,4,3,2,2,2,4,2,2,2,4,4,2,3,3,2,4,4,3,2,4,4,3,2,4,4,4,2,3,3,4,2,2,4,2,2,2,1,Female,2,4,Student,Never married,2.44,2.71,2.57,3.57,3.00,2.82,3.00,3.10,2.10,2.60,2.20,3.00,2.50,2.60,3.00,3.00,3.40,2.80,1.75,2.25,2.50,3.00,3.20,2.80,3.40,2.60,2.80,3.13,3.29,3.20,2.40,2.58,3.08,2.72
Facebook,Smartphones,5,5,5,5,5,5,5,5,3,3,3,2,2,3,3,2,2,2,2,3,2,2,2,3,3,2,3,2,2,3,2,2,3,4,3,2,3,4,4,4,3,3,4,4,3,4,4,2,4,2,1,3,3,2,2,1,1,2,1,2,2,2,4,4,4,3,4,4,2,4,3,3,2,2,3,2,2,4,2,2,3,3,2,3,4,3,4,4,2,3,3,2,3,3,4,4,3,4,4,4,2,3,2,4,2,2,4,3,2,2,3,3,3,4,3,3,1,Male,3,4,Employed part time (up to 39 hours per week),Never married,2.56,2.29,2.43,2.71,3.23,2.94,3.22,3.30,1.80,2.60,2.40,2.25,2.50,2.40,2.80,3.75,3.40,3.20,2.25,1.50,1.50,3.20,3.40,2.60,2.40,3.00,3.20,3.25,3.00,2.60,3.20,2.42,3.06,2.76
Facebook,Smartphones,5,5,5,5,5,4,5,5,3,2,3,3,3,2,2,2,3,3,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3,3,4,4,3,2,2,4,4,2,2,2,2,4,4,2,3,1,1,3,2,2,2,1,1,1,2,4,2,4,3,3,2,4,4,2,4,2,4,3,4,2,4,3,4,2,2,2,4,3,2,2,3,2,4,3,4,4,3,2,4,4,4,4,4,4,3,2,4,4,2,2,4,3,4,4,3,2,4,2,2,2,6,3,Male,0,2,Student,Never married,2.56,2.43,2.29,3.71,3.46,2.88,2.78,2.90,1.60,2.80,2.40,2.25,2.50,2.20,2.80,2.75,2.80,3.00,1.75,1.50,1.50,3.20,3.20,3.00,3.00,2.60,3.20,3.63,3.00,3.60,2.40,2.42,3.43,2.41
Whatsapp,Smartphones,5,5,5,5,5,5,5,5,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,2,2,4,2,3,2,3,4,2,4,3,2,4,4,3,3,3,3,1,2,2,1,3,2,2,2,1,2,3,3,3,2,4,3,2,2,3,2,2,3,2,4,3,2,4,3,4,4,2,4,2,3,3,3,2,2,3,4,3,4,3,2,4,2,2,4,3,3,3,2,2,4,2,3,4,2,2,3,2,2,2,2,2,7,3,Male,5,4,Self-employed,Never married,2.44,2.14,2.00,3.00,2.69,3.00,2.89,3.10,1.80,2.20,2.60,2.00,2.25,2.00,2.80,3.00,3.00,3.20,1.50,2.25,1.50,3.00,2.40,2.80,3.40,2.80,2.80,3.00,2.71,2.80,2.00,2.20,2.86,2.59
Facebook,Smartphones,5,5,4,3,5,4,5,5,3,3,2,2,3,2,2,3,3,2,3,3,3,3,2,3,2,2,2,3,3,3,2,3,3,2,3,4,3,4,4,4,2,3,2,4,4,2,2,4,3,2,2,1,1,2,3,2,3,2,3,2,3,2,4,4,4,4,3,2,3,3,2,3,4,3,3,4,2,4,2,3,2,4,4,3,4,3,4,3,3,4,4,4,2,3,4,4,3,4,3,2,2,3,4,3,4,2,3,3,2,3,3,2,3,4,2,7,3,Female,4,3,Employed part time (up to 39 hours per week),Never married,2.56,2.71,2.43,3.43,3.15,3.24,3.33,2.80,2.10,2.60,2.40,3.00,2.25,2.60,3.00,3.75,3.00,2.60,1.50,2.50,2.50,3.40,3.00,3.00,3.00,3.40,3.40,3.50,3.00,2.60,2.80,2.57,3.27,2.72
Facebook,Smartphones,5,5,5,5,5,5,5,5,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,2,2,4,2,2,3,4,2,2,3,4,3,4,3,2,3,4,3,4,3,2,1,2,3,1,2,2,1,3,1,1,4,4,3,2,2,3,3,3,2,3,4,2,2,2,2,4,3,4,2,3,2,2,4,2,4,3,4,3,4,2,2,4,3,2,3,2,2,4,4,4,2,2,2,2,4,2,2,4,3,2,2,3,3,4,3,7,3,Female,1,3,Student,Never married,2.44,3.00,2.43,3.00,2.77,2.82,2.89,3.10,1.70,2.60,2.40,3.00,3.00,2.20,3.00,2.75,3.00,3.20,1.75,2.00,1.00,3.00,2.80,2.40,3.20,2.80,3.20,2.75,2.86,2.60,3.00,2.62,2.84,2.55
Facebook,Smartphones,5,5,5,5,4,4,5,4,2,3,3,2,3,2,3,2,3,2,2,2,3,3,2,3,2,3,3,2,3,2,2,2,3,2,3,4,3,2,4,3,2,4,2,2,2,3,3,4,2,3,1,3,2,2,2,1,1,2,2,1,3,2,3,4,4,3,2,2,2,4,3,3,2,2,3,3,2,4,2,3,2,4,3,2,2,3,4,4,3,4,2,2,4,2,4,3,2,2,2,2,4,2,2,3,3,2,4,3,4,3,3,3,3,2,2,4,2,Female,4,5,Employed part time (up to 39 hours per week),Married,2.56,2.43,2.43,2.86,2.77,2.76,2.89,2.70,1.70,2.60,2.40,2.50,2.50,2.40,2.80,3.00,2.40,3.00,2.00,1.50,1.50,3.20,2.60,2.60,2.80,2.60,3.60,2.63,2.57,3.20,2.60,2.47,2.79,2.41
Facebook,Smartphones,5,5,5,5,5,4,5,5,2,2,3,2,2,2,3,3,2,2,2,3,3,2,2,2,3,2,2,3,3,3,3,4,3,4,3,2,2,2,4,3,3,2,2,4,4,4,4,3,3,4,2,2,2,2,3,2,3,1,2,1,2,2,3,4,4,4,2,4,3,3,4,3,3,2,3,3,2,2,3,4,2,2,4,4,2,3,3,3,2,3,3,3,2,4,2,3,3,4,3,4,3,3,2,2,2,4,4,3,4,2,3,4,3,2,2,7,3,Male,0,2,Student,Never married,2.33,2.29,2.71,2.57,3.08,3.06,3.00,3.30,2.00,2.20,2.40,2.50,2.25,2.80,3.20,2.75,3.00,3.60,2.00,2.25,1.50,3.00,3.20,3.00,2.80,2.80,2.80,3.00,2.71,3.40,2.80,2.44,2.96,2.76
Facebook,Smartphones,5,5,5,5,5,5,5,5,2,2,3,2,3,3,3,2,2,3,2,2,2,3,3,3,2,3,3,2,2,3,3,4,2,3,4,2,3,2,2,2,3,3,4,4,4,3,4,3,2,4,1,3,2,1,2,3,3,1,3,1,4,2,4,3,2,4,4,4,4,4,3,2,3,3,4,4,3,4,4,2,4,3,2,4,2,4,3,4,4,3,3,2,2,3,2,3,3,3,2,4,3,2,4,2,3,4,2,4,3,2,4,4,2,4,2,6,3,Male,3,4,Employed part time (up to 39 hours per week),Never married,2.44,2.57,2.57,3.29,3.23,3.06,2.67,3.40,2.00,2.40,2.60,2.25,2.75,2.60,3.00,2.25,3.60,3.20,1.75,2.25,2.00,3.00,4.00,3.00,3.40,3.00,3.60,2.63,2.86,3.00,3.20,2.53,3.18,2.69
Line,Tablets,5,5,5,5,5,5,5,5,2,3,2,3,3,2,2,3,3,2,3,2,2,2,3,3,3,3,2,3,2,2,2,3,3,2,2,3,3,4,2,2,4,2,4,3,4,3,3,3,4,2,2,3,3,1,1,3,1,3,3,1,3,2,4,2,2,4,2,4,4,3,3,2,3,4,2,2,3,2,2,4,3,4,3,4,3,2,3,3,4,2,3,2,4,2,3,2,3,3,4,3,3,4,2,3,4,4,2,3,4,3,3,4,3,2,3,7,3,Female,4,5,Employed Full Time (40 or more hours per week),Married,2.56,2.43,2.43,2.71,3.15,2.76,2.67,3.20,2.10,2.60,2.40,2.25,3.00,2.20,2.60,2.75,3.40,3.00,2.25,2.00,2.00,2.60,3.40,2.80,2.60,3.40,2.80,2.75,3.29,3.20,3.00,2.47,2.91,2.66
Youtube,Smartphones,5,4,4,4,5,4,5,4,3,3,3,2,3,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,3,3,3,4,3,2,3,3,4,3,4,4,2,4,3,2,2,3,3,2,2,3,1,2,1,1,1,1,3,1,3,1,3,2,2,4,3,2,4,4,4,3,4,3,2,2,2,2,2,4,3,2,3,2,2,4,2,3,4,3,2,3,3,2,4,4,2,3,2,4,3,4,4,3,2,3,4,3,4,4,2,3,2,4,3,3,2,2,1,Female,2,4,Employed part time (up to 39 hours per week),Never married,2.44,2.29,2.71,2.43,3.00,3.00,3.33,2.60,1.50,2.80,2.00,2.25,2.50,2.80,3.00,3.75,2.60,2.60,1.25,1.50,2.00,2.80,3.40,2.60,2.60,2.60,3.00,3.00,3.29,3.20,2.80,2.48,2.86,2.45
Youtube,Smartphones,5,5,5,5,5,5,5,5,2,3,3,3,2,3,3,2,2,2,3,2,2,3,2,2,3,3,3,3,2,3,3,2,4,2,2,2,4,2,4,2,4,4,3,4,2,3,2,2,2,4,1,3,1,3,3,2,1,2,3,1,2,2,4,2,2,2,3,3,4,4,2,4,4,2,3,4,4,3,2,4,2,2,2,2,4,4,4,4,3,3,2,3,3,2,4,3,2,3,4,4,4,4,2,2,3,2,2,3,4,3,3,2,2,2,4,2,1,Female,4,4,Student,Never married,2.56,2.29,2.86,2.86,3.00,2.82,2.67,3.00,2.00,2.60,2.40,2.50,2.50,2.80,2.40,3.00,3.40,2.60,2.00,2.00,2.00,2.40,3.20,3.00,3.40,2.40,3.60,2.75,3.29,2.80,2.60,2.57,2.92,2.55
Line,Smartphones,5,5,5,4,4,3,5,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,3,3,2,2,2,2,3,2,2,4,3,2,2,3,2,4,3,3,3,4,2,3,3,3,4,4,4,3,3,2,2,3,1,1,2,2,3,3,3,3,4,3,2,3,4,4,2,2,4,3,4,4,2,2,4,3,4,4,2,3,2,3,3,2,2,2,2,4,4,4,4,4,4,4,3,2,4,3,3,4,3,2,4,2,2,3,3,3,4,3,3,3,2,4,2,Female,5,4,Employed Full Time (40 or more hours per week),Married,2.56,2.71,2.14,3.43,2.92,3.29,2.89,3.30,2.20,2.60,2.60,2.50,2.50,2.20,2.80,3.00,3.00,3.60,2.50,1.50,3.00,3.00,3.00,3.40,3.40,2.60,2.40,3.63,3.29,2.60,3.00,2.47,3.15,2.79
TikTok,Computers,5,5,5,5,5,5,5,5,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,2,4,2,3,4,3,4,4,3,4,3,2,3,2,4,2,2,3,3,2,3,2,3,3,3,2,2,4,4,2,2,4,4,4,2,2,4,2,4,2,4,2,3,2,2,2,2,4,2,4,3,2,3,2,3,4,2,3,3,2,2,3,4,2,4,4,3,2,3,3,4,3,2,4,3,2,4,4,3,2,2,3,4,2,Female,7,6,Self-employed,Divorced,2.44,2.14,3.00,3.29,2.92,2.71,3.22,2.90,2.60,2.60,2.20,2.00,2.75,3.00,3.00,3.50,3.20,2.60,2.75,2.75,2.00,3.20,3.20,2.80,2.20,3.00,2.80,2.88,3.14,3.00,2.80,2.53,2.95,2.90
Instagram,Smartphones,5,4,5,5,4,2,4,2,3,3,3,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,2,2,2,3,3,3,4,3,2,3,3,3,4,4,3,3,2,3,3,2,2,2,2,2,1,1,2,1,2,1,2,3,2,4,3,3,3,4,2,3,4,2,3,3,3,4,3,2,4,2,2,3,4,3,4,4,2,3,4,2,4,4,2,4,4,4,3,3,3,2,2,3,2,4,4,2,2,3,2,2,4,2,4,3,4,2,4,2,3,1,Female,4,5,Self-employed,Never married,2.67,2.29,2.29,3.14,3.15,3.18,3.11,2.60,1.70,2.80,2.40,2.50,2.25,2.20,3.00,3.25,3.00,2.20,1.50,1.50,2.50,3.40,2.80,3.00,3.00,3.20,3.20,3.13,2.86,2.80,3.00,2.41,3.12,2.45
Facebook,Smartphones,5,5,5,5,5,4,5,5,2,3,2,2,2,3,2,3,3,3,3,3,2,2,2,2,2,2,3,3,2,3,3,2,4,4,2,3,4,3,2,4,3,3,2,4,2,4,3,4,3,3,3,2,3,2,2,1,3,2,1,2,3,2,3,4,4,2,3,2,4,3,2,2,2,2,3,3,4,2,4,4,3,4,4,2,2,4,3,3,2,4,2,4,2,4,3,2,3,4,2,3,2,2,2,4,3,4,4,2,3,2,3,4,4,2,3,2,1,Female,0,2,Student,Never married,2.44,2.43,2.57,2.71,3.38,2.82,3.11,3.10,2.10,2.20,2.80,2.50,2.00,2.80,3.00,3.25,2.80,3.40,2.50,2.00,1.50,3.20,2.80,2.20,3.40,3.00,3.20,3.00,2.57,3.00,3.20,2.48,3.08,2.76
Line,Tablets,5,5,5,5,5,5,5,5,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,3,3,4,2,4,3,4,2,4,4,2,3,3,3,4,4,2,2,4,2,2,1,3,2,1,3,1,3,3,1,3,4,3,2,3,3,3,3,2,2,4,4,2,4,2,2,3,4,3,2,3,4,2,4,4,4,3,2,3,2,4,2,3,3,2,4,3,3,2,3,2,2,4,4,3,2,2,4,3,3,4,3,4,2,2,2,3,1,Female,4,5,Employed Full Time (40 or more hours per week),Married,2.67,2.86,2.57,3.00,2.92,3.00,3.22,2.90,2.10,2.80,2.60,3.00,2.75,2.40,3.40,3.00,3.40,2.40,1.75,2.50,2.00,3.00,2.80,2.80,3.00,3.60,2.80,2.75,2.86,3.20,2.60,2.70,2.95,2.72
Facebook,Smartphones,5,5,5,5,5,5,5,5,2,2,3,3,2,3,2,3,2,2,3,2,2,2,2,2,3,3,2,3,3,3,2,4,2,2,3,3,3,2,3,2,3,2,3,4,3,3,3,2,2,2,2,1,1,1,2,3,3,3,1,1,2,2,4,3,3,4,3,4,2,3,4,3,3,4,3,2,4,4,3,3,2,4,3,3,2,4,3,3,4,4,3,3,4,4,2,2,2,3,4,2,3,2,2,3,4,3,4,4,4,3,4,3,3,4,2,3,1,Female,1,3,Student,Never married,2.44,2.14,2.71,2.86,2.92,3.41,2.67,2.70,1.80,2.40,2.40,2.25,2.50,2.60,2.80,2.50,3.00,2.40,1.25,2.75,1.00,2.80,3.20,3.40,3.20,2.80,3.60,2.88,2.86,3.60,3.20,2.43,3.02,2.38
